Energia,Ao_vivo,Tempo,Falado,Orgânico,Instrumental,Compasso,Dançabilidade,Tom,Duração,Força,Positividade,Modo,Tipo,Music_id,Playlist_name,Album_name,Artista,Music_name
"0,391","0,121","79,571","0,0558","0,597","0,000013",5,"0,465",1,147125,"0,223280090752397","0,196",1,audio_features,0OCE6GGdw4boNHvUzC9NNr,Sad,Não Vou Sentir,Sadstation,Não Vou Sentir
"0,49","0,085","170,472","0,0749","0,822",0,4,"0,422",6,111610,"0,335004005699197","0,394",0,audio_features,3EpFio33qPadB03ebwtpIf,Sad,Vê Se Não Demora,Bernaa,Vê Se Não Demora
"0,322","0,114","144,035","0,0447","0,754","0,000125",4,"0,675",7,148096,"0,269401494106367","0,424",1,audio_features,5CtDUbwpPPxjzDgjAcjJZh,Sad,Vai Que Isso Dá Certo,Enzo Cello,Vai Que Isso Dá Certo
"0,259","0,103","128,6","0,086","0,925",0,3,"0,499",10,132872,"0,144111951752011","0,243",1,audio_features,6wNqAUKmZLUwC2W953E0NL,Sad,Te Espero,Gabziim,Te Espero
"0,334","0,121","124,975","0,0486","0,767",0,4,"0,511",11,164023,"0,323407435051077","0,452",1,audio_features,3hu9sz63gnAcuDlMei5Ynb,Sad,Luz de Velas,Motta Oficial,Luz de Velas
"0,464","0,121","87,497","0,0446","0,863","0,000773",4,"0,605",0,176668,"0,275042622303032","0,348",0,audio_features,1gDaVI37SnApL2Ll97eUqv,Sad,Sei Lá,Kweller,Sei Lá
"0,317","0,114","104,828","0,17","0,689","0,000102",4,"0,693",1,158185,"0,166647959359983","0,22",0,audio_features,2K8W4j6g53LYrWfwnzkTVs,Sad,Tudo É Superficial,Zant,Tudo É Superficial
"0,233","0,103","108,575","0,0329","0,606",0,4,"0,456",4,196540,"0,235206868588562","0,0896",0,audio_features,0dM0Dw3aR5FqBOgq0DlwJR,Sad,Vinho Amargo,Nanasai,Vinho Amargo
"0,274","0,123","115,945","0,0371","0,859","0,0165",4,"0,691",9,193981,"0,155793738867732","0,176",1,audio_features,1fMAsguLaGGZvIiZDS04aV,Sad,Na Minha,Ana Olic,Na Minha
"0,376","0,0924","78,009","0,0862","0,837",0,4,"0,637",10,221547,"0,28151400151333","0,145",1,audio_features,0J2bForZNlNBBG8mpEsSdn,Sad,SUPERMAN,Ronin,SUPERMAN
"0,272","0,105","132,286","0,0359","0,775",0,3,"0,464",4,164197,"0,260465375913625","0,263",0,audio_features,2yY322Wc1OKMSXKO8MbWTE,Sad,Deixa Rolar,Sadstation,Deixa Rolar
"0,248","0,143","94,436","0,046","0,823",0,4,"0,452",6,163687,"0,213476463711728","0,488",0,audio_features,7sD8XcvDat0Xd2zoZUOYWU,Sad,Que não te falte amor,Lil Chainz,Que não te falte amor
"0,265","0,0949","90,955","0,0514","0,921","0,0000471",4,"0,61",9,171010,"0,166571232806881","0,152",0,audio_features,5N7gGcjj3gY4WwT9AydgnQ,Sad,Te Trago pra Perto de Mim,Konai,Te Trago pra Perto de Mim
"0,211","0,269","95,878","0,236","0,605",0,4,"0,798",9,192993,"0,140831563236653","0,652",0,audio_features,3kzn7CAkZFXitb1dCA9NaO,Sad,Flow Deus,MC Igu,Flow Corey Taylor
